Ano;Ponto de colheita;Temperatura ºC ;Conductividade Eléctrica (μS/cm);pH ;Turbidez (NTU);O2 Dissolvido (mg/l)
Outubro-2014;PT5;23;110;8.6;2.7;
Outubro-2014;PT6;23;110;8.6;1.7;
Outubro-2014;PT7;23;110;8.6;1.57;
Outubro-2014;PT8;23;110;8.2;1.65;
Outubro-2014;PT9;23;100;8.3;1.61;
Outubro-2014;PT10;23;100;8.4;2.9;
Outubro-2014;PT11;23;100;8.2;3.69;
Outubro-2014;PT12;23;100;8.2;3.04;
Outubro-2014;PT13;23;100;8.2;5.31;
Outubro-2014;PT14;23;90;8.1;8.82;
Outubro-2014;PT15;23;110;8.2;3.37;
Outubro-2014;PT16;23;100;8;18.7;
Outubro-2014;PT17;23;110;8.2;7.02;
Outubro-2014;PT18;23;130;8.4;6.75;
Outubro-2014;PT19;23;90;8.1;10.56;
Abril-2015;PT1;27.2;117.9;8.1;1.25;
Abril-2015;PT2;26.9;117.2;8.2;0.35;
Abril-2015;PT3;27;120.2;8.3;0.5;
Abril-2015;PT4;27;117.8;8.2;0.6;
Abril-2015;PT5;27.8;117.3;8.7;0.32;
Abril-2015;PT6;28.3;117.2;8;0.54;
Abril-2015;PT7;27.1;118.2;8.2;0.44;
Abril-2015;PT8;27.3;121.9;8.2;8.76;
Abril-2015;PT9;26.9;117.9;8.1;3.66;
Abril-2015;PT10;27;117.3;8.4;8.79;
Abril-2015;PT11;26.9;145.7;7.9;7.97;
Abril-2015;PT12;26.4;112.8;7.9;4.14;
Abril-2015;PT13;27.1;123.7;8.1;3.5;
Abril-2015;PT14;26.3;119.4;7.8;11.3;
Abril-2015;PT15;26.7;112.7;7.9;7.16;
Abril-2015;PT16;;;;;
Abril-2015;PT17;26.7;97.4;8.2;33.9;
Abril-2015;PT18;26.6;108.2;7.8;4.65;
Abril-2015;PT19;26.6;110.4;7.9;0.43;
Outubro-2015;PT1;24.5;124.8;8.2;2.53;
Outubro-2015;PT2;24.3;124.5;8.1;1.42;
Outubro-2015;PT3;24.5;123.7;8;1.62;
Outubro-2015;PT4;24.4;124.1;8.1;1.26;
Outubro-2015;PT5;24.5;124.6;8.3;1.94;
Outubro-2015;PT6;26.9;124;8.3;2.51;
Outubro-2015;PT7;26.6;128;8.3;1.86;
Outubro-2015;PT8;29;123;8.3;3.02;
Outubro-2015;PT9;27.3;122.5;8.5;1.44;
Outubro-2015;PT10;28.6;124.3;8.2;1.57;
Outubro-2015;PT11;28;123.1;8.2;3.19;
Outubro-2015;PT12;26.9;119;8.1;1.27;
Outubro-2015;PT13;28.1;119.6;8.4;3.77;
Outubro-2015;PT14;28.2;124;7.9;13.9;
Outubro-2015;PT15;28.2;124;8.3;6.62;
Outubro-2015;PT16;;;;7.55;
Outubro-2015;PT17;;;;;
Outubro-2015;PT18;;;;;
Outubro-2015;PT19;;;;;
Abril-2016;PT1;28.31;126;8.24;1.9;7.31
Abril-2016;PT2;28.75;125;8.14;1.8;7.28
Abril-2016;PT3;28.2;125;8.25;1.8;7.5
Abril-2016;PT4;28.4;129;8.46;2;7.41
Abril-2016;PT5;28.23;140;8.51;2.1;7.74
Abril-2016;PT6;28.98;126;8.73;2.6;7.18
Abril-2016;PT7;29.02;121;8.68;3.5;7.92
Abril-2016;PT8;29.54;126;8.23;21.6;7.03
Abril-2016;PT9;28.52;122;8.19;29.2;6.93
Abril-2016;PT10;28.04;123;8.3;21.5;7.51
Abril-2016;PT11;27.6;124;8.1;84.4;7.63
Abril-2016;PT12;26.36;123;7.9;163;6.95
Abril-2016;PT13;27.82;118;7.99;138;6.77
Abril-2016;PT14;28.8;122;7.89;114;6.5
Abril-2016;PT15;;;;;
Abril-2016;PT16;;;;;
Abril-2016;PT17;;;;;
Abril-2016;PT18;;;;;
Abril-2016;PT19;;;;;
Outubro-2016;PT1;26.85;117;8.99;3.9;8.42
Outubro-2016;PT2;28.03;121;9.3;3.2;8.18
Outubro-2016;PT3;27.62;119;9.31;3.4;8.11
Outubro-2016;PT4;28.16;119;9.39;2.7;7.17
Outubro-2016;PT5;28.85;119;9.68;5.3;8.3
Outubro-2016;PT6;27.09;117;8.84;4.1;8.03
Outubro-2016;PT7;26.7;117;9;3.1;8.06
Outubro-2016;PT8;26.38;117;8.73;3.9;7.45
Outubro-2016;PT9;27.8;122;8.94;6.8;7.48
Outubro-2016;PT10;27.97;117;8.95;7.1;7.74
Outubro-2016;PT11;27.84;117;8.94;11;6.48
Outubro-2016;PT12;29.52;112;8.84;60;7.46
Outubro-2016;PT13;29.4;111;8.92;124;7.16
Outubro-2016;PT14;;;;;
Outubro-2016;PT15;;;;;
Outubro-2016;PT16;;;;;
Outubro-2016;PT17;;;;;
Outubro-2016;PT18;;;;;
Outubro-2016;PT19;;;;;
Abril-2017;PT1;29.09;121;8.53;8.3;7.18
Abril-2017;PT2;28.1;121;8.8;5.8;7.6
Abril-2017;PT3;27.95;120;8.92;8.8;6.78
Abril-2017;PT4;27.93;118;9.15;8;6.6
Abril-2017;PT5;28.39;121;9;3.5;8.38
Abril-2017;PT6;27.16;120;8.16;8.16;6.8
Abril-2017;PT7;28.4;120;8.4;8.4;7.3
