Data;Cota (m);Caudal Afluente (m3/s);Caudal Efluente (m3/s);Precipitação (mm);Evaporação (mm);Volume Evaporado Mm3;Humidade Relativa (%)
1/1/2003;316.70;1626;1393;0.0;5.2;10.37;61
1/2/2003;316.67;781;1479;1.5;2.8;5.57;87
1/3/2003;316.75;3319;1456;47.5;5.2;10.49;93
1/4/2003;316.69;62;1460;1.6;3.2;6.44;44
1/5/2003;316.75;2886;1488;23.2;5.7;11.53;87
1/6/2003;316.83;3307;1439;6.4;1.4;2.74;80
1/7/2003;316.87;2381;1445;0.0;4.1;8.37;62
1/8/2003;316.92;2624;1453;0.0;4.8;9.68;58
1/9/2003;316.98;2851;1442;5.8;6.3;12.77;68
1/10/2003;316.97;1224;1459;0.7;3.3;19.49;93
1/11/2003;317.00;2143;1438;24.0;0.7;35.95;100
1/12/2003;317.02;1958;1487;19.4;1.3;18.81;89
1/13/2003;317.06;2414;1473;0.0;2.1;4.35;81
1/14/2003;317.11;2590;1411;0.0;3.7;7.58;79
1/15/2003;317.16;2610;1429;0.0;6.5;9.95;83
1/16/2003;317.22;2878;1459;0.0;7.4;15.21;67
1/17/2003;317.27;2650;1465;0.0;5.5;11.29;87
1/18/2003;317.32;2670;1483;0.0;11.4;23.34;81
1/19/2003;317.38;2963;1536;0.0;5.9;12.12;62
1/20/2003;317.42;2407;1454;4.6;4.4;9.05;46
1/21/2003;317.43;1658;1420;0.0;7.4;15.32;63
1/22/2003;317.43;1486;1486;4.5;5.7;11.75;66
1/23/2003;317.46;2162;1446;0.0;3.7;7.55;60
1/24/2003;317.51;2679;1485;0.0;6.6;13.70;54
1/25/2003;317.53;1923;1445;1.6;6.1;12.52;79
1/26/2003;317.55;1972;1493;0.0;3.5;7.15;66
1/27/2003;317.54;1218;1457;18.6;7.2;14.97;81
1/28/2003;317.55;1689;1450;0.0;3.4;7.09;73
1/29/2003;317.58;2165;1447;15.2;4.4;9.10;95
1/30/2003;317.62;2421;1462;7.5;4.1;8.43;62
1/31/2003;317.65;2169;1449;0.0;3.9;8.06;58
2/1/2003;317.67;1917;1436;16.5;3.7;7.65;76
2/2/2003;317.71;2460;1498;0.0;3.6;7.43;66
2/3/2003;317.75;2427;1464;8.5;4.3;8.88;76
2/4/2003;317.78;2200;1477;0.0;5.5;11.39;70
2/5/2003;317.82;2428;1463;0.0;5.4;11.21;86
2/6/2003;317.80;1007;1490;0.5;3.4;7.09;66
2/7/2003;317.84;2446;1480;0.0;5.3;10.99;93
2/8/2003;317.88;2400;1433;2.8;4.9;10.25;70
2/9/2003;317.86;1004;1488;0.0;5.0;10.44;81
2/10/2003;317.86;1473;1473;0.4;5.4;11.22;93
2/11/2003;317.89;2206;1480;2.9;2.0;4.27;93
2/12/2003;317.91;1957;1473;0.3;3.2;6.74;87
2/13/2003;317.96;2734;1523;0.0;4.1;8.50;71
2/14/2003;317.99;2239;1512;0.0;9.1;19.08;96
2/15/2003;318.03;2444;1473;0.0;6.2;12.93;67
2/16/2003;318.07;2486;1513;0.0;4.9;10.25;77
2/17/2003;318.15;3340;1391;0.2;4.1;8.53;47
2/18/2003;318.21;2926;1461;0.0;11.0;23.29;84
2/19/2003;318.27;2918;1450;0.0;0.6;1.16;58
2/20/2003;318.36;3547;1340;0.0;4.7;10.00;62
2/21/2003;318.39;2073;1336;0.0;5.4;11.47;51
2/22/2003;318.47;3288;1319;1.2;5.4;1.96;58
2/23/2003;318.59;4345;1383;17.4;5.6;11.92;76
2/24/2003;318.63;2319;1329;26.1;2.9;6.16;78
2/25/2003;318.70;3108;1372;58.6;2.0;4.29;76
2/26/2003;318.78;3405;1417;0.0;5.2;11.13;87
2/27/2003;318.93;4995;1254;1.8;0.9;1.98;73
2/28/2003;319.05;4441;1435;4.0;3.1;6.75;57
3/1/2003;319.18;4708;1439;0.0;4.5;9.76;53
3/2/2003;319.23;2764;1503;0.0;5.3;11.47;62
3/3/2003;319.29;2931;1415;0.5;6.0;13.12;64
3/4/2003;319.29;1409;1409;0.0;5.3;11.67;58
3/5/2003;319.34;2681;1416;4.7;4.9;10.74;48
3/6/2003;319.36;1915;1408;0.0;6.6;14.49;62
3/7/2003;319.40;2431;1417;21.0;6.1;13.25;66
3/8/2003;319.40;1399;1399;15.3;4.1;9.04;87
3/9/2003;319.54;4952;1392;24.6;4.0;8.75;89
3/10/2003;319.60;2937;1406;0.0;2.3;4.98;87
3/11/2003;319.74;4975;1392;0.0;4.5;10.04;70
3/12/2003;319.86;4669;1586;0.0;5.3;11.81;73
3/13/2003;320.01;5443;1573;0.0;2.4;5.39;66
3/14/2003;320.09;3649;1578;0.0;3.9;8.79;68
3/15/2003;320.17;3598;1522;0.0;3.5;7.85;57
3/16/2003;320.22;2862;1562;0.0;5.5;12.25;55
3/17/2003;320.27;2845;1542;0.0;5.5;12.47;57
3/18/2003;320.32;2868;1564;6.4;6.5;14.55;89
3/19/2003;320.35;2328;1544;0.0;5.8;13.04;81
3/20/2003;320.41;3095;1526;0.0;3.8;8.56;93
3/21/2003;320.46;2836;1526;20.7;2.8;6.35;93
3/22/2003;320.51;2464;1152;0.3;4.8;10.79;68
3/23/2003;320.54;1950;1162;0.0;3.3;7.40;64
3/24/2003;320.59;2486;1171;8.9;3.8;8.59;62
3/25/2003;320.65;2756;1175;22.5;5.2;11.84;74
3/26/2003;320.70;2438;1118;7.4;2.2;4.93;66
3/27/2003;320.74;2182;1125;15.8;4.4;9.94;97
3/28/2003;320.79;2423;1100;19.0;0.1;0.27;93
3/29/2003;320.90;4026;1108;34.0;0.8;1.77;94
3/30/2003;320.96;2709;1113;0.6;2.3;5.29;75
3/31/2003;321.07;4075;1142;0.0;3.7;8.43;74
4/1/2003;321.14;3017;1145;0.0;4.6;10.67;81
4/2/2003;321.26;4351;1134;1.6;4.0;9.22;93
4/3/2003;321.38;4390;1161;1.0;3.1;7.16;87
4/4/2003;321.46;3329;1170;0.0;3.3;7.65;79
4/5/2003;321.61;5188;1125;0.0;2.6;6.18;82
4/6/2003;321.71;3851;1132;0.0;2.3;5.50;74
4/7/2003;321.81;3893;1166;0.0;2.2;5.18;76
4/8/2003;321.87;2787;1147;0.0;2.1;5.05;59
4/9/2003;321.93;2800;1157;0.0;6.3;14.91;42
4/10/2003;321.96;1970;1147;0.0;5.0;11.76;60
4/11/2003;322.02;2814;1167;0.0;5.9;13.95;65
4/12/2003;322.06;2232;1132;0.0;7.3;17.29;81
4/13/2003;322.08;1666;1115;0.0;4.7;11.20;70
4/14/2003;322.12;2173;1071;0.7;4.3;10.31;81
4/15/2003;322.15;1961;1134;2.2;2.5;5.91;70
4/16/2003;322.19;2250;1146;0.0;5.4;12.93;72
4/17/2003;322.22;1980;1151;0.0;2.6;6.30;61
4/18/2003;322.24;1664;1111;0.0;4.6;10.94;59
4/19/2003;322.29;2488;1104;0.0;5.4;13.01;77
4/20/2003;322.31;1627;1073;0.0;3.6;8.57;71
4/21/2003;322.33;1643;1088;0.0;2.5;5.99;67
4/22/2003;322.36;1973;1141;0.0;4.8;11.46;53
4/23/2003;322.37;1433;1155;0.0;3.4;8.21;43
4/24/2003;322.37;1148;1148;0.0;4.4;10.66;45
4/25/2003;322.38;1419;1142;0.0;5.5;13.15;60
4/26/2003;322.40;1673;1118;0.0;6.6;15.78;51
4/27/2003;322.44;2225;1113;0.0;4.7;11.27;71
4/28/2003;322.41;309;1143;0.0;1.0;2.38;45
4/29/2003;322.44;1989;1154;0.0;4.7;11.28;61
4/30/2003;322.47;1983;1148;0.0;4.2;10.08;57
5/1/2003;322.49;1688;1131;0.0;4.1;9.75;61
5/2/2003;322.47;589;1146;0.0;3.8;9.15;46
5/3/2003;322.51;2239;1124;0.0;6.7;16.08;81
5/4/2003;322.52;1399;1120;0.0;3.0;7.25;65
5/5/2003;322.54;1643;1085;0.0;4.0;9.52;37
5/6/2003;322.50;31;1146;0.0;5.9;14.12;75
5/7/2003;322.52;1708;1150;0.0;4.6;10.99;65
5/8/2003;322.55;1991;1154;0.0;2.8;6.66;70
5/9/2003;322.56;1430;1151;0.0;2.5;5.94;48
5/10/2003;322.57;1395;1115;0.0;5.0;12.07;40
5/11/2003;322.57;1131;1131;0.0;3.9;9.51;44
5/12/2003;322.60;1985;1146;0.0;3.2;7.63;40
5/13/2003;322.56;23;1141;0.0;5.7;13.68;26
5/14/2003;322.59;1986;1148;0.0;6.4;15.50;49
5/15/2003;322.59;1132;1132;0.5;3.0;7.25;94
5/16/2003;322.57;597;1156;8.8;1.3;3.04;80
5/17/2003;322.61;2247;1129;0.0;3.9;9.33;75
5/18/2003;322.64;1904;1064;0.0;2.8;6.82;73
5/19/2003;322.63;823;1103;0.0;2.5;6.14;65
5/20/2003;322.63;1203;1203;0.0;2.4;6.41;70
5/21/2003;322.63;1147;1147;0.0;6.8;16.04;67
5/22/2003;322.65;1688;1128;0.0;1.5;8.37;75
5/23/2003;322.66;1427;1147;0.0;0.4;5.76;61
5/24/2003;322.67;1423;1143;0.0;9.3;22.42;77
5/25/2003;322.68;1384;1103;0.0;3.3;8.09;49
5/26/2003;322.71;2008;1166;0.0;5.2;12.60;28
5/27/2003;322.73;1734;1173;0.0;4.7;11.35;32
5/28/2003;322.73;1086;1086;0.0;3.4;8.20;33
5/29/2003;322.73;1154;1154;0.0;4.8;11.63;81
5/30/2003;322.74;1430;1149;0.0;1.8;4.46;92
5/31/2003;322.75;1384;1103;0.0;4.2;10.09;73
6/1/2003;322.76;1420;1139;0.0;2.6;6.21;65
6/2/2003;322.76;1137;1137;0.0;2.6;6.36;60
6/3/2003;322.77;1393;1112;0.0;2.2;5.39;43
6/4/2003;322.77;1149;1149;0.0;4.8;11.56;35
6/5/2003;322.76;872;1153;0.0;2.5;6.12;63
6/6/2003;322.78;1707;1145;0.0;5.6;13.50;72
6/7/2003;322.78;1136;1136;0.0;5.5;13.26;53
6/8/2003;322.79;1412;1131;0.0;4.1;9.91;40
6/9/2003;322.80;1343;1062;0.0;4.7;11.37;40
6/10/2003;322.73;1297;1078;0.0;3.5;8.57;53
6/11/2003;322.78;2482;1077;3.3;2.6;6.34;100
6/12/2003;322.80;1656;1094;0.0;2.1;5.20;80
6/13/2003;322.83;1946;1101;0.0;0.4;1.07;65
6/14/2003;322.82;875;1156;0.0;4.3;10.45;85
6/15/2003;322.82;1157;1157;0.0;1.6;3.89;63
6/16/2003;322.82;1140;1140;0.0;4.5;10.99;56
6/17/2003;322.83;1409;1127;0.7;3.8;9.29;83
6/18/2003;322.81;569;1132;0.0;2.5;6.03;83
6/19/2003;322.82;1351;1069;0.0;2.7;6.47;96
6/20/2003;322.84;1634;1071;0.4;1.2;3.02;86
6/21/2003;322.85;1400;1118;0.0;3.4;8.32;56
6/22/2003;322.84;839;1121;0.0;3.3;7.98;60
6/23/2003;322.85;1416;1134;0.0;3.3;8.03;80
6/24/2003;322.86;1421;1139;0.0;2.7;4.70;61
6/25/2003;322.85;855;1136;0.0;2.9;7.01;64
6/26/2003;322.87;1697;1133;0.0;3.1;7.57;68
6/27/2003;322.87;1134;1134;0.0;1.6;3.99;75
6/28/2003;322.87;1129;1129;0.0;4.9;11.98;75
6/29/2003;322.88;1403;1121;0.0;2.0;4.87;69
6/30/2003;322.90;1689;1125;0.0;2.5;6.04;77
7/1/2003;322.91;1402;1119;0.0;2.5;6.19;65
7/2/2003;322.91;1208;1208;0.0;2.9;7.07;49
7/3/2003;322.89;879;1443;0.0;2.8;6.78;61
7/4/2003;322.89;1444;1444;0.0;4.8;11.74;85
7/5/2003;322.85;396;1524;0.0;3.0;18.56;84
7/6/2003;322.85;1524;1524;6.0;3.1;7.49;100
7/7/2003;322.85;1533;1533;3.5;1.2;2.82;86
7/8/2003;322.82;703;1547;0.0;1.4;3.36;74
7/9/2003;322.84;2124;1561;2.0;1.3;3.21;93
7/10/2003;322.85;1835;1554;0.0;1.9;4.53;82
7/11/2003;322.83;1022;1585;0.0;6.4;15.57;69
7/12/2003;322.81;994;1557;0.0;3.8;9.19;86
7/13/2003;322.80;1276;1558;0.0;3.9;9.48;66
7/14/2003;322.81;1836;1555;0.5;3.5;8.41;94
7/15/2003;322.80;1287;1568;0.0;2.4;5.78;81
7/16/2003;322.79;1306;1587;0.0;1.9;4.66;79
7/17/2003;322.76;770;1613;0.0;2.7;6.51;86
7/18/2003;322.76;1641;1641;0.0;3.7;9.08;70
7/19/2003;322.76;1596;1596;0.0;4.0;9.78;49
7/20/2003;322.74;1021;1583;0.0;3.4;8.30;60
7/21/2003;322.73;1334;1614;0.0;4.3;10.35;77
7/22/2003;322.71;1174;1736;0.0;3.7;8.92;80
7/23/2003;322.70;1220;1501;0.0;2.6;6.25;76
7/24/2003;322.67;628;1469;0.0;3.7;8.91;74
7/25/2003;322.69;2159;1598;0.0;3.0;7.29;65
7/26/2003;322.69;1436;1436;0.0;3.0;7.29;65
7/27/2003;322.69;1412;1412;0.0;4.8;11.72;78
7/28/2003;322.68;1366;1646;0.0;3.7;9.88;83
7/29/2003;322.65;790;1631;0.0;7.7;0.00;61
7/30/2003;322.65;1607;1607;0.0;4.6;0.00;86
7/31/2003;322.65;1482;1482;0.0;3.1;0.00;86
8/1/2003;322.64;1101;1381;0.0;6.3;15.19;89
8/2/2003;322.63;1090;1370;0.0;6.3;15.11;83
8/3/2003;322.64;1657;1377;0.0;3.0;7.23;76
8/4/2003;322.63;1068;1348;0.0;3.4;8.15;80
8/5/2003;322.62;1079;1359;0.0;4.3;10.33;81
8/6/2003;322.59;686;1525;0.0;4.0;9.76;75
8/7/2003;322.61;2157;1598;0.0;3.5;8.50;80
8/8/2003;322.58;767;1605;0.0;3.0;7.25;69
8/9/2003;322.59;1799;1519;0.0;5.1;12.31;52
8/10/2003;322.59;1492;1492;0.0;4.5;10.77;45
8/11/2003;322.62;2150;1311;0.0;4.7;11.42;57
8/12/2003;322.61;531;810;0.0;5.1;12.37;32
8/13/2003;322.62;1419;1139;0.0;5.9;14.36;47
8/14/2003;322.64;1704;1145;0.0;4.9;11.87;21
8/15/2003;322.64;1131;1131;0.0;5.8;14.02;56
8/16/2003;322.64;1114;1114;0.0;7.7;18.61;79
8/17/2003;322.65;1516;1236;0.0;5.0;12.05;56
8/18/2003;322.65;1381;1381;0.0;5.4;12.94;39
8/19/2003;322.65;1380;1380;0.0;7.0;16.84;28
8/20/2003;322.65;1386;1386;0.0;6.1;14.67;22
8/21/2003;322.64;1094;1374;0.0;6.3;15.16;34
8/22/2003;322.63;934;1214;0.0;4.2;10.23;65
8/23/2003;322.63;1136;1136;0.0;5.0;12.09;75
8/24/2003;322.68;2507;1107;0.0;3.0;7.24;75
8/25/2003;322.69;1425;1144;0.0;5.1;12.35;59
8/26/2003;322.72;1984;1142;0.0;6.2;15.00;43
8/27/2003;322.69;306;1147;0.0;7.7;18.60;49
8/28/2003;322.72;1980;1138;0.0;2.5;6.15;69
8/29/2003;322.72;1128;1128;0.0;6.4;15.56;48
8/30/2003;322.73;1411;1131;0.0;9.0;21.87;42
8/31/2003;322.74;1418;1137;0.0;5.0;12.22;56
9/1/2003;322.76;1709;1147;0.0;5.2;12.67;86
9/2/2003;322.76;1154;1154;0.0;6.6;28.69;45
9/3/2003;322.77;1419;1138;0.0;7.0;17.00;34
9/4/2003;322.78;1434;1153;0.0;5.9;14.43;57
9/5/2003;322.80;1712;1150;0.0;4.4;10.64;71
9/6/2003;322.76;1522;1124;0.0;9.2;22.25;49
9/7/2003;322.80;1151;1151;0.0;7.2;17.39;69
9/8/2003;322.81;1426;1145;0.0;3.5;8.60;65
9/9/2003;322.83;1718;1155;0.0;5.8;14.15;47
9/10/2003;322.83;1141;1141;0.0;7.2;17.61;35
9/11/2003;322.85;1702;1138;0.0;8.1;19.66;26
9/12/2003;322.86;1423;1142;0.0;10.1;24.53;30
9/13/2003;322.85;859;1140;0.0;7.1;17.31;27
9/14/2003;322.80;1328;1120;0.0;7.4;17.92;53
9/15/2003;322.85;2520;1113;5.0;7.1;17.22;100
9/16/2003;322.87;1673;1110;0.0;1.0;2.51;83
9/17/2003;322.86;856;1138;0.0;2.1;5.18;55
9/18/2003;322.88;1699;1136;0.0;7.0;17.02;56
9/19/2003;322.88;1001;1283;0.0;5.4;13.08;35
9/20/2003;322.89;1665;1383;0.0;9.0;21.96;33
9/21/2003;322.88;1095;1377;0.0;7.7;18.72;22
9/22/2003;322.89;1666;1384;0.0;10.4;25.37;26
9/23/2003;322.88;1099;1381;0.0;7.7;18.65;70
9/24/2003;322.89;1661;1379;0.0;6.1;14.96;43
9/25/2003;322.89;1379;1379;0.0;2.2;5.29;80
9/26/2003;322.88;1105;1387;0.0;7.1;17.17;46
9/27/2003;322.88;1379;1379;0.0;11.6;28.15;22
9/28/2003;322.88;1382;1382;0.0;5.1;12.32;28
9/29/2003;322.87;1098;1380;0.0;9.8;23.77;30
9/30/2003;322.87;1374;1374;0.0;8.8;21.43;53
10/1/2003;322.86;1082;1364;0.0;7.1;17.19;38
10/2/2003;322.86;1380;1380;0.0;6.9;16.85;41
10/3/2003;322.86;1369;1369;0.0;10.3;25.06;21
10/4/2003;322.86;1384;1384;0.0;9.0;21.79;25
10/5/2003;322.86;1375;1375;0.0;8.8;21.47;28
10/6/2003;322.86;1383;1383;0.0;8.2;19.96;30
10/7/2003;322.84;829;1393;0.0;8.3;20.25;26
10/8/2003;322.85;1670;1388;0.0;9.2;22.35;50
10/9/2003;322.85;1386;1386;0.0;6.4;15.64;57
10/10/2003;322.84;1075;1356;0.0;6.8;16.64;33
10/11/2003;322.84;1390;1390;0.0;6.4;15.67;65
10/12/2003;322.82;828;1391;0.0;9.8;23.78;48
10/13/2003;322.82;1339;1339;0.0;4.6;11.09;57
10/14/2003;322.84;1952;1389;0.0;6.3;15.42;35
10/15/2003;322.83;1344;1626;0.0;9.3;22.53;67
10/16/2003;322.81;1160;1723;0.0;9.2;22.32;42
10/17/2003;322.78;893;1737;0.0;8.8;21.43;19
10/18/2003;322.68;1091;1716;0.0;10.3;25.09;34
10/19/2003;322.66;1126;1686;0.0;7.2;17.35;68
10/20/2003;322.67;2002;1722;0.0;4.2;10.22;81
10/21/2003;322.65;1158;1718;0.0;3.6;8.76;79
10/22/2003;322.65;1719;1719;0.0;3.7;9.05;71
10/23/2003;322.63;1162;1722;0.0;3.8;9.12;53
10/24/2003;322.60;868;1707;0.0;12.4;29.99;42
10/25/2003;322.57;742;1581;0.0;8.9;21.50;39
10/26/2003;322.57;1733;1733;0.0;12.5;30.13;21
10/27/2003;322.49;987;1709;0.0;10.9;26.38;36
10/28/2003;322.51;2279;1722;0.0;8.3;20.08;66
10/29/2003;322.45;64;1736;0.0;7.8;18.86;51
10/30/2003;322.42;892;1727;0.0;6.6;15.77;52
10/31/2003;322.39;896;1730;0.0;7.5;18.01;41
11/1/2003;322.34;344;1733;0.0;6.5;15.65;41
11/2/2003;322.30;595;1704;0.0;10.4;24.90;40
11/3/2003;322.28;1158;1712;0.0;9.2;21.99;55
11/4/2003;322.25;818;1648;0.0;8.4;19.99;66
11/5/2003;322.23;1150;1703;0.0;9.2;22.00;33
11/6/2003;322.14;1042;1697;0.0;9.6;22.84;15
11/7/2003;322.15;1596;1320;0.0;7.1;16.98;56
11/8/2003;322.15;1705;1705;0.5;8.3;19.84;87
11/9/2003;322.16;1456;1180;0.0;6.0;14.23;81
11/10/2003;322.17;1368;1092;0.0;9.2;21.89;72
11/11/2003;322.17;977;977;0.0;8.7;20.72;29
11/12/2003;322.15;568;1120;0.0;9.3;22.19;20
11/13/2003;322.12;491;1319;0.0;10.5;24.97;38
11/14/2003;322.14;2384;1833;0.0;8.4;13.42;65
11/15/2003;322.13;1569;1845;0.0;8.1;19.39;38
11/16/2003;322.09;755;1857;0.0;7.7;18.43;38
11/17/2003;322.05;848;1949;0.0;8.5;20.26;33
11/18/2003;322.04;1679;1954;0.0;7.1;16.92;43
11/19/2003;321.99;583;1957;0.0;6.2;14.73;43
11/20/2003;322.00;2232;1957;0.0;9.5;22.50;66
11/21/2003;321.99;1711;1985;0.0;6.0;14.14;34
11/22/2003;321.95;864;1962;0.0;11.9;28.27;58
11/23/2003;321.95;1979;1979;0.0;9.9;23.48;59
11/24/2003;321.93;1434;1983;0.0;10.5;24.77;29
11/25/2003;321.91;1433;1982;0.0;9.2;21.80;27
11/26/2003;321.88;1162;1984;0.0;9.2;21.85;24
11/27/2003;321.83;624;1991;2.0;9.2;21.75;32
11/28/2003;321.83;1992;1992;15.1;10.6;25.12;93
11/29/2003;321.84;2257;1983;5.6;0.5;1.18;54
11/30/2003;321.76;1624;1957;0.1;0.9;2.19;56
12/1/2003;321.77;2208;1935;0.3;4.5;10.63;61
12/2/2003;321.72;549;1912;0.0;4.2;9.92;46
12/3/2003;321.73;2207;1935;0.0;7.7;18.08;65
12/4/2003;321.69;830;1919;0.0;5.3;12.40;53
12/5/2003;321.69;1917;1917;0.0;8.8;20.59;49
12/6/2003;321.65;826;1914;0.0;8.4;19.83;52
12/7/2003;321.65;1874;1874;0.0;6.8;15.85;54
12/8/2003;321.64;1452;1724;0.0;7.5;17.54;30
12/9/2003;321.64;1923;1923;0.0;9.1;21.34;30
12/10/2003;321.63;1660;1931;3.5;6.1;14.38;66
12/11/2003;321.60;1132;1947;0.0;2.8;6.66;36
12/12/2003;321.59;1661;1932;0.5;4.5;10.45;62
12/13/2003;321.58;1648;1919;1.0;4.6;10.78;70
12/14/2003;321.58;1970;1970;0.0;4.8;11.23;48
12/15/2003;321.54;474;1558;0.6;5.4;12.60;44
12/16/2003;321.52;1255;1796;37.9;9.4;22.08;70
12/17/2003;321.49;1516;2328;0.0;5.0;11.78;57
12/18/2003;321.50;1802;1532;0.0;6.3;14.68;41
12/19/2003;321.46;703;1785;0.0;5.5;12.85;37
12/20/2003;321.43;959;1769;0.0;14.5;33.78;41
12/21/2003;321.42;1514;1784;0.0;4.6;10.66;44
12/22/2003;321.38;920;2000;10.8;7.1;16.57;42
12/23/2003;321.37;1702;1972;0.0;7.8;18.09;58
12/24/2003;321.33;857;1935;11.9;3.4;7.98;76
12/25/2003;321.32;1662;1931;0.0;2.1;4.95;42
12/26/2003;321.32;1787;1787;0.0;5.4;12.60;93
12/27/2003;321.25;1436;1779;0.0;7.4;17.08;43
12/28/2003;321.25;1861;1861;45.3;13.7;31.69;94
12/29/2003;321.22;1056;1861;0.6;2.2;5.08;73
12/30/2003;321.20;1386;1923;0.0;3.8;8.71;72
12/31/2003;321.18;1287;1823;0.0;10.4;24.08;67
1/1/2004;321.17;1369;1637;0.0;5.2;11.94;67
1/2/2004;321.16;1143;1411;0.8;5.5;12.73;50
1/3/2004;321.15;1567;1835;0.0;6.3;14.48;58
1/4/2004;321.08;1360;1765;0.0;7.9;18.30;47
1/5/2004;321.07;1600;1867;0.0;7.4;17.04;76
1/6/2004;321.08;2259;1992;0.0;4.7;10.89;44
1/7/2004;321.06;1488;2022;0.0;6.4;14.86;59
1/8/2004;321.06;2066;2066;0.0;8.4;19.37;48
1/9/2004;321.00;464;2065;0.0;6.6;15.16;36
1/10/2004;320.99;1782;2049;0.6;8.1;18.68;71
1/11/2004;320.96;1275;2074;0.0;6.0;13.76;71
1/12/2004;320.95;1596;1862;6.2;3.8;8.71;70
1/13/2004;320.95;1698;1698;0.0;6.7;15.38;62
1/14/2004;320.94;1331;1597;0.0;5.8;13.43;50
1/15/2004;320.95;1866;1600;0.0;7.6;17.54;44
1/16/2004;320.94;1326;1592;0.0;4.8;11.10;35
1/17/2004;320.89;242;1571;0.0;9.8;22.45;38
1/18/2004;320.95;3166;1571;37.0;11.0;25.22;75
1/19/2004;320.99;2642;1577;8.2;5.7;13.15;86
1/20/2004;321.06;3450;1583;7.8;2.7;6.11;88
1/21/2004;321.12;3167;1564;16.1;4.7;10.81;78
1/22/2004;321.13;1852;1584;0.0;3.7;8.44;61
1/23/2004;321.19;3183;1577;0.2;2.5;5.78;66
1/24/2004;321.26;3446;1567;11.0;7.7;17.85;93
1/25/2004;321.26;1574;1574;2.6;2.0;4.60;58
1/26/2004;321.34;3657;1506;2.6;5.8;13.44;65
1/27/2004;321.40;3143;1526;3.8;0.5;1.26;81
1/28/2004;321.48;3743;1582;8.9;2.2;5.08;92
1/29/2004;321.55;3428;1533;86.5;2.0;4.68;89
1/30/2004;321.72;6114;1495;6.2;1.0;2.35;70
1/31/2004;321.84;4849;1574;17.3;1.5;3.54;68
2/1/2004;321.92;3691;1502;8.7;3.1;7.31;66
2/2/2004;321.99;3481;1561;4.7;4.6;10.79;65
2/3/2004;322.05;3166;1517;0.0;4.4;10.38;76
2/4/2004;322.11;3223;1571;0.0;4.9;11.66;53
2/5/2004;322.16;2929;1550;0.0;6.1;14.41;46
2/6/2004;322.21;2983;1602;0.0;5.4;12.79;57
2/7/2004;322.27;3221;1561;0.0;8.2;19.64;50
2/8/2004;322.29;2104;1550;0.0;6.7;15.91;53
2/9/2004;322.31;2119;1564;0.0;6.2;14.93;37
2/10/2004;322.33;2067;1512;0.0;5.9;14.08;67
2/11/2004;322.35;2111;1556;0.0;5.7;13.59;63
2/12/2004;322.34;1262;1540;0.0;6.1;14.63;65
2/13/2004;322.37;2352;1520;0.0;6.6;15.74;59
2/14/2004;322.36;1238;1516;0.0;3.9;9.26;81
2/15/2004;322.36;1421;1421;0.0;3.8;9.17;66
2/16/2004;322.41;2915;1526;14.0;5.1;12.25;61
2/17/2004;322.43;2115;1559;50.8;4.6;10.96;86
2/18/2004;322.48;2866;1474;13.6;4.4;10.46;87
2/19/2004;322.49;1845;1566;19.2;3.6;8.55;87
2/20/2004;322.55;3210;1536;1.6;1.9;4.68;95
2/21/2004;322.58;2393;1555;6.4;4.7;11.39;87
2/22/2004;322.63;2720;1321;0.0;4.2;10.05;65
2/23/2004;322.67;2655;1535;0.0;5.4;12.94;63
2/24/2004;322.71;2639;1517;0.0;5.6;13.63;71
2/25/2004;322.72;1595;1314;0.0;3.8;9.26;68
2/26/2004;322.78;2916;1231;58.7;2.2;5.44;76
2/27/2004;322.88;3836;1020;4.9;6.2;10.17;79
2/28/2004;322.98;3929;1105;3.0;5.8;14.11;70
2/29/2004;323.02;2423;1292;0.0;3.1;7.68;70
3/1/2004;323.16;5717;1745;0.0;5.6;13.69;94
3/2/2004;323.27;5016;1884;27.0;6.4;15.70;71
3/3/2004;323.37;4752;1896;0.0;2.6;6.47;66
3/4/2004;323.46;4068;1490;0.8;3.1;7.62;81
3/5/2004;323.55;4083;1499;6.2;2.4;5.96;93
3/6/2004;323.68;5308;1563;0.0;4.6;11.45;81
3/7/2004;323.79;4692;1512;24.3;5.2;12.99;85
3/8/2004;323.94;5875;1522;0.0;4.3;10.65;62
3/9/2004;324.06;5023;1527;0.0;4.4;11.05;57
3/10/2004;324.15;4553;1923;0.0;4.5;11.41;63
3/11/2004;324.23;4447;2103;10.8;5.3;13.49;71
3/12/2004;324.29;4019;2258;0.0;2.7;6.93;66
3/13/2004;324.34;3319;1849;11.6;2.3;5.77;70
3/14/2004;324.38;2703;1525;1.1;6.8;27.34;87
3/15/2004;324.46;3918;1559;6.8;7.1;7.93;89
3/16/2004;324.57;4775;1522;1.5;2.7;6.79;76
3/17/2004;324.68;5357;2093;0.0;2.9;7.51;64
3/18/2004;324.78;5919;2944;0.0;4.0;10.15;61
3/19/2004;324.82;3358;2166;0.0;5.9;15.27;66
3/20/2004;324.84;2891;2294;0.0;7.4;19.13;76
3/21/2004;324.87;3176;2280;0.0;5.4;14.00;93
3/22/2004;324.88;2474;2175;0.0;3.9;10.09;72
3/23/2004;324.91;2909;2013;0.0;3.9;10.15;56
3/24/2004;324.93;2626;2027;0.0;4.8;12.43;54
3/25/2004;324.94;2391;2091;0.0;7.1;18.41;62
